id_client,nom,prenom,email,telephone
CLT9757,Blanchard,Luc,,03 80 29 80 06
CLT5076,Maury,Agathe,clementcolette@example.com,0491314265
CLT4051,Grenier,Honoré,margaux19@example.net,
CLT7032,Martin,Robert,,+33 4 20 52 40 37
CLT7747,Ruiz,Emmanuel,,04 85 78 30 58
CLT2586,Barbe,Danielle,,
CLT9690,Bailly,Éléonore,,
CLT3381,Chartier,Arnaude,,
CLT2141,Lecoq,Marcelle,invalide@,+33 4 83 50 24 13
CLT7558,Cordier,Charles,,
CLT9524,Colin,Marcelle,invalide@,12345
CLT3690,Noël,Timothée,,
CLT9398,Maurice,William,ngoncalves@example.net,
CLT6788,Noël,David,,
CLT6709,Grégoire,Susan,,02 51 23 68 96
CLT6141,Poirier,Adélaïde,,12345
CLT2191,Bourdon,Thibault,,0240460844
CLT7597,Cordier,Alice,laureollivier@example.net,12345
CLT2975,Louis,Marie,,+33 7 64 00 32 76
CLT1044,Bouvet,François,anastasiecollin@example.com,0175582387
CLT8859,Vallet,Marthe,,
CLT6614,Pierre,François,weberstephane@example.net,12345
CLT7235,Bonnet,Guillaume,,0531587771
CLT7708,Berger,Valentine,,06 51 65 91 84
CLT5565,Lamy,Georges,couturierveronique@example.org,+33 4 58 51 97 05
CLT1227,Maury,Thierry,invalide@,+33 1 46 09 66 62
CLT9790,Marion,Hélène,invalide@,+33 2 98 26 44 32
CLT6616,Fleury,Pénélope,invalide@,
CLT1421,Guyon,Michelle,suzanne87@example.net,+33 4 49 19 76 23
CLT6766,Mace,Guy,,12345
CLT3171,Coste,Franck,,+33 (0)3 52 16 12 72
CLT7188,Millet,Roland,invalide@,12345
CLT8898,Seguin,Élisabeth,ilanglois@example.org,12345
CLT4725,Fabre,Henriette,,12345
CLT3196,Benoit,Henriette,,04 50 20 55 82
CLT1432,Faivre,Zacharie,invalide@,12345
CLT8451,Maillot,Sébastien,,12345
CLT5406,Godard,Diane,,
CLT1885,Delattre,Honoré,,12345
CLT1302,Leroy,Alice,,0272630845
CLT2226,Mercier,Henri,,
CLT7231,Vidal,Noël,,
CLT1261,Devaux,Susanne,robertcecile@example.org,+33 2 45 61 32 47
