student_id,full_name,birth_date,email,nationality
S1000,Jennifer Huffman,2001-07-03,joseparker@yahoo.com,Montenegro
S1001,Dennis Clayton,2008-02-17,igreer@hotmail.com,Palau
S1002,Joshua Marshall,1996-05-30,rodriguezjacqueline@moreno.com,British Virgin Islands
S1003,Jerry Jacobs,2002-01-30,amanda44@yahoo.com,Namibia
S1004,Luis Nelson,1995-07-21,timothylambert@torres.com,Haiti
S1005,Jose Weber,2007-05-08,kimmiguel@yahoo.com,Andorra
S1006,Lucas Gonzalez,2003-11-15,zfields@lambert.info,Wallis and Futuna
S1007,Kevin Martin,2007-02-09,andre87@hotmail.com,Ghana
S1008,Terry Jordan,2006-08-17,bbarnes@hotmail.com,Brazil
S1009,Allison Garrett,2003-02-25,hmoore@gmail.com,New Zealand
S1010,Elizabeth Gomez,2005-09-04,kimberly15@hotmail.com,Botswana
S1011,Natasha Lopez,2005-08-10,westmelissa@powell.com,Saint Lucia
S1012,Lawrence Bennett,2002-01-27,hodgesjohn@schroeder.org,Honduras
S1013,James Brown,2003-03-03,gowens@hotmail.com,Pakistan
S1014,Mary Peck,2003-03-09,kmaxwell@smith-hansen.com,Philippines
S1015,Susan Cervantes,2002-07-24,molinawilliam@yahoo.com,Syrian Arab Republic
S1016,Brian Rivera,2002-05-05,hallmonica@robles-dickerson.org,Bahamas
S1017,Holly Parker,2000-07-13,matthew04@yahoo.com,British Virgin Islands
S1018,Mrs. Sherry Baker,2004-10-24,murillowhitney@hotmail.com,Japan
S1019,Michael Palmer,2002-11-15,julia68@hotmail.com,Lao People's Democratic Republic
S1020,Rhonda Johnson,1997-03-21,rosskevin@turner.com,Cook Islands
S1021,John Anderson,1997-12-09,angela39@hotmail.com,Barbados
S1022,Eric Jackson,2001-07-28,daniel46@hotmail.com,Somalia
S1023,Miguel Johnson,2008-04-03,norrismark@gmail.com,Australia
S1024,Michelle Huerta,2006-09-16,tprice@mendoza-payne.info,Libyan Arab Jamahiriya
S1025,Paul Blair,1999-05-17,margaretking@yahoo.com,Spain
S1026,Claudia Grant,2002-01-03,morenorichard@campos.com,Turkey
S1027,Johnny Moore,2005-02-08,daniel49@payne.com,United States Virgin Islands
S1028,Jeffrey Mason,2000-06-11,michele59@kim.net,Myanmar
S1029,Stephanie Johnson,31-31-2099,ybruce@mccarthy-moore.com,France
S1030,Troy Harvey,2000-02-26,tcurtis@yahoo.com,Bermuda
S1031,Sara Mason,2005-11-14,donnaalexander@houston-ramos.com,Ecuador
S1032,Henry Miller,2001-08-17,dpowers@hotmail.com,Guatemala
S1033,Jerry Henderson,1995-01-10,bparker@gmail.com,Austria
S1034,Kimberly Solis,1994-06-01,alexsmith@gmail.com,Sudan
S1035,David Ramirez,2003-10-13,nicholas51@oliver.info,India
S1036,Emma Young,1999-06-03,sierrahernandez@yahoo.com,Qatar
S1037,Heather Nixon,2000-11-29,kristinalvarado@yahoo.com,Nauru
S1038,Jasmine Robbins,31-31-2099,kathleen10@byrd-harmon.com,Georgia
S1039,Brandon Watts,1995-07-18,jeanwebb@taylor-johnston.com,Iran
S1040,Michele Clark,2006-07-09,cookmitchell@williams-brown.com,Congo
S1041,Hector Martin,2001-08-16,brian50@wood-wagner.org,Saudi Arabia
S1042,Kathy Warren,2001-07-23,dennis86@harrington.info,Marshall Islands
S1043,Katherine Hendrix,2006-05-26,adam99@york-mcgrath.com,Spain
S1044,Tracy Valencia,2002-05-01,heather49@gmail.com,Germany
S1045,Taylor Oliver,1995-10-01,david36@hotmail.com,Saint Pierre and Miquelon
S1046,Richard Lambert,2003-06-06,emilywalters@tucker.com,Puerto Rico
S1047,Jessica Martinez,1997-03-30,pfrye@gmail.com,Peru
S1048,Michael Thomas,2004-09-22,michaeljackson@gmail.com,Georgia
S1049,Mario Smith,2003-07-13,mitchellbrian@hotmail.com,Maldives
S1050,Jason Williams,1999-06-29,campbellphilip@adams-carey.com,Korea
S1051,Lindsay Galloway,2007-01-31,mary61@yahoo.com,South Africa
S1052,Katherine Richardson,2000-12-05,egonzalez@gmail.com,South Georgia and the South Sandwich Islands
S1053,Connor Garcia,1998-01-12,mhill@sherman.com,Belgium
S1054,Lisa Miller,2001-04-29,tvincent@hotmail.com,Swaziland
S1055,Jerry Henderson,2003-10-15,bparker@gmail.com,Burundi
S1056,Aaron Carlson,2006-01-30,james76@ritter.com,Slovenia
S1057,Jordan Hill,2002-01-13,swagner@nichols.com,Hungary
